feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
Sox5	type	wound	1.07813849956849	0.108044823892896	8.38261212324484e-23	1.73494669096249e-21	CPLM	1.132	1634	658	60
Kdm4b	type	wound	1.60606521689112	0.16598269102138	1.42803920934528e-21	2.91149486562037e-20	CPLM	1.01	1634	226	86
Dock10	type	wound	1.36536832611829	0.142124025528164	2.70304918824803e-21	5.42994881051002e-20	CPLM	1.01	1634	333	80
Phactr1	type	wound	1.55505356751554	0.162762413259606	4.38379784705457e-21	8.67864907112542e-20	CPLM	1.01	1634	218	87
Frmd4a	type	wound	1.47873207923497	0.155791487735019	7.74365835215244e-21	1.51111961557718e-19	CPLM	1.01	1634	231	86
Egfr	type	wound	-2.4775094496665	0.261635801007556	9.49379978478609e-21	1.82655359239687e-19	CPLM	1.267	1634	999	39
Dpyd	type	wound	1.25300929716079	0.134575810396208	3.95797922266145e-20	7.50916613632715e-19	CPLM	1.01	1634	387	76
Htt	type	wound	1.53764465242731	0.16711958688149	1.05234459915142e-19	1.96918181156279e-18	CPLM	1.01	1634	232	86
Dmd	type	wound	1.1895288099252	0.130666245685509	2.47914257794163e-19	4.57636319117334e-18	CPLM	1.01	1634	510	69
Slc17a9	type	wound	1.66642065134801	0.186022614765789	8.78900828747017e-19	1.60077137609123e-17	CPLM	1.01	1634	167	90
Zfp710	type	wound	1.50896999869432	0.170550133686421	2.27199163322189e-18	4.08360601444882e-17	CPLM	1.01	1634	203	88
Tenm3	type	wound	1.73656563934345	0.197022568956998	3.02689051358113e-18	5.36978239162575e-17	CPLM	1.01	1634	187	89
Neat1	type	wound	-2.21511498019167	0.252265716415518	4.01322319545348e-18	7.02828574998647e-17	CPLM	1.01	1634	1098	33
Atp8b1	type	wound	1.18088094084904	0.1346513913468	4.40466265033817e-18	7.6161635194455e-17	CPLM	1.01	1634	431	74
Dlc1	type	wound	-0.840134867544001	0.0964654848069341	7.36111748969727e-18	1.25691081136581e-16	CPLM	1.132	1634	1291	21
Col1a2	type	wound	-2.79837200070692	0.321986015270281	8.58056463748068e-18	1.44704336972822e-16	CPLM	1.01	1634	1135	31
Eml1	type	wound	1.55575835172297	0.179154343025023	9.10657162473192e-18	1.51702156577851e-16	CPLM	1.01	1634	187	89
Kcnip4	type	wound	1.76835766373869	0.203890719476324	9.97449552205179e-18	1.64158564856901e-16	CPLM	1.383	1634	245	85
Pde7b	type	wound	1.57331139674057	0.182112365461331	1.32456212686148e-17	2.15399031582474e-16	CPLM	1.01	1634	180	89
Wwox	type	wound	0.919303228557149	0.106690727961914	1.60147712372587e-17	2.57366794236417e-16	CPLM	1.01	1634	727	56
Anxa2	type	wound	1.24492737629472	0.145211987591398	2.29812017848636e-17	3.65026995792135e-16	CPLM	1.01	1634	317	81
Arl6ip5	type	wound	1.63742179817827	0.19128391786739	2.56034862406725e-17	4.02004163273087e-16	CPLM	1.01	1634	195	88
Dis3l2	type	wound	1.10617982087901	0.130573773530757	5.31882557053238e-17	8.25626787425821e-16	CPLM	1.01	1634	420	74
Galnt16	type	wound	1.46308013335281	0.172737915284597	5.39559544847625e-17	8.28132964339163e-16	CPLM	1.01	1634	223	86
Itgbl1	type	wound	-1.53192841849068	0.18157501475912	7.07741422215945e-17	1.0741942030522e-15	CPLM	1.198	1634	916	44
Slit3	type	wound	-1.04159602631736	0.123892045750242	9.01703621526158e-17	1.35354631538982e-15	CPLM	1.19	1634	1170	28
Gtdc1	type	wound	1.67688886190806	0.199823837258633	1.02291025767538e-16	1.5187993608528e-15	CPLM	1.01	1634	164	90
Col3a1	type	wound	-2.11267285080406	0.252916306477874	1.40033903778875e-16	2.05684207055853e-15	CPLM	1.01	1634	1032	37
Arid5b	type	wound	1.42358966208449	0.170539076300294	1.46622867843708e-16	2.13071103696282e-15	CPLM	1.01	1634	224	86
1110051M20Rik	type	wound	1.32635667693428	0.159790930170262	2.14543676446486e-16	3.08491223185158e-15	CPLM	1.01	1634	274	83
St3gal3	type	wound	1.36908490311747	0.168358618128422	8.27194154917889e-16	1.17702834960191e-14	CPLM	1.01	1634	238	85
