""	"pathway"	"pathway_members"	"pval"	"fdr"	"n"	"N"	"set_enrichment_score"
"W71"	"path:mmu04141"	"Dnajc1;Eif2ak3;Sec63;Hsp90ab1;Man1a;Sec23a;Atf6;Man1c1;Cul1;Prkn;Ube4b;Ube2d3;Sec31a;Sec24d;Sec24a;Rrbp1;Sec24b"	0.297617518592179	0.81693300896673	17	17	4090.5
"W139"	"path:mmu04910"	"Acacb;Phkb;Acaca;Prkag2;Braf;Insr;Irs1;Pdpk1;Pik3ca;Pik3r1;Sorbs1;Sos2;Cblb;Inpp5a;Akt3;Mapk1;Foxo1;Gsk3b;Rptor"	0.298245384225949	0.81693300896673	19	19	6120.5
"W217"	"path:mmu05203"	"Cdc42;Crebbp;Dlg1;Il6st;Jak1;Nfkb1;Kat2b;Pik3ca;Pik3r1;Rbpj;Sp100;Stat3;Stat5b;Hdac4;Traf3;Ube3a;Ywhae;Gsn;Creb5;Mapk1;Creb3l1;Hdac7;Snd1;Actn4;Hdac8"	0.307297072642697	0.832675938773759	25	25	6210.5
"W127"	"path:mmu04722"	"Camk2d;Braf;Rap1a;Rps6ka3;Abl1;Camk2a;Cdc42;Gab1;Irs1;Nfkb1;Pdpk1;Pik3ca;Pik3r1;Sos2;Ywhae;Akt3;Map3k3;Mapk1;Mapk14;Frs2;Foxo3;Gsk3b;Kidins220;Maged1"	0.311429678742922	0.834896585566132	24	24	5953
"W129"	"path:mmu04724"	"Adcy9;Cacna1c;Gls;Gnaq;Gnas;Gnb1;Gng12;Gria4;Prkca;Prkcb;Plcb1;Plcb4;Pld1;Ppp3ca;Ppp3cb;Adcy2;Mapk1;Gria3"	0.321468975227414	0.85203547306593	18	18	5783
"W181"	"path:mmu05014"	"Apaf1;Rb1cc1;Eif2ak3;Kif5b;Klc1;Ppp3ca;Ppp3cb;Ranbp2;Atxn2;Mcu;Atf6;Ambra1;Fus;Mapk14;Ulk2;Prkn;Hnrnpa2b1"	0.327773233515124	0.85203547306593	17	17	4133.5
"W161"	"path:mmu04932"	"Prkag2;Cdc42;Eif2ak3;Insr;Irs1;Itch;Nfkb1;Pik3ca;Pik3r1;Akt3;Mapk14;Gsk3b"	0.331017438711518	0.85203547306593	12	12	2834
"W3"	"path:mmu00230"	"Adcy9;Adk;Fhit;Gda;Adcy2;Xdh;Pde4d;Pde3a;Nt5c2"	0.331347128414528	0.85203547306593	9	9	3022.5
"W162"	"path:mmu04933"	"Cdc42;Col3a1;Col1a1;Col1a2;Diaph1;Fn1;Smad3;Nfkb1;Pik3ca;Pik3r1;Prkca;Prkcb;Prkce;Plcb1;Plcb4;Stat3;Stat5b;Tgfb2;Tgfbr1;Tgfbr2;Akt3;Mapk1;Mapk14;Nox4;Foxo1;Plce1"	0.337495762205937	0.858215333091613	26	26	6528
"W102"	"path:mmu04540"	"Adcy9;Egfr;Gnaq;Gnas;Lpar1;Pdgfrb;Prkca;Prkcb;Plcb1;Plcb4;Prkg1;Sos2;Adcy2;Mapk1;Pdgfd"	0.340561640115719	0.858215333091613	15	15	4848.5
"W154"	"path:mmu04925"	"Camk2d;Adcy9;Cacna1c;Camk2a;Gnaq;Gnas;Prkca;Prkcb;Prkce;Prkd1;Plcb1;Plcb4;Adcy2;Creb5;Creb3l1;Atp2b1;Atp1a2"	0.349192765995375	0.863106615274713	17	17	5442.5
"W249"	"path:mmu05416"	"Abl1;Abl2;Dag1;Dmd;Fyn;Lama2;Eif4g1;Eif4g3;Sgcd"	0.355065247901529	0.863106615274713	9	9	2999.5
"W152"	"path:mmu04923"	"Adcy9;Gnas;Insr;Irs1;Pik3ca;Pik3r1;Prkg1;Adcy2;Akt3;Mgll"	0.356176748000564	0.863106615274713	10	10	2344
"W209"	"path:mmu05166"	"Adcy9;Xiap;Crebbp;Dlg1;Il1r1;Jak1;Smad3;Nfkb1;Nrp1;Kat2b;Pik3ca;Pik3r1;Ppp3ca;Ppp3cb;Pten;Stat5b;Adcy2;Tgfb2;Tgfbr1;Tgfbr2;Creb5;Akt3;Map3k3;Mapk1;Creb3l1;Anapc5;Crtc3"	0.35654213527824	0.863106615274713	27	27	6826.5
"W183"	"path:mmu05017"	"Rb1cc1;Gnaq;Pik3ca;Pik3r1;Prkca;Prkcb;Plcb1;Plcb4;Rbpj;Rora;Atxn1;Atxn2;Mcu;Ambra1;Akt3;Ulk2;Gria3;Atxn10;Pum1;Pum2"	0.359627756364464	0.863106615274713	20	20	6331
"W224"	"path:mmu05212"	"Braf;Cdc42;Egfr;Jak1;Smad3;Nfkb1;Pik3ca;Pik3r1;Pld1;Stat3;Tgfb2;Tgfbr1;Tgfbr2;Akt3;Mapk1"	0.363167988745111	0.863380501544982	15	15	3654.5
"W182"	"path:mmu05016"	"Ap2a2;Apaf1;Rb1cc1;Crebbp;Gnaq;Gria4;Htt;Kif5b;Klc1;Nrf1;Plcb1;Plcb4;Rcor1;Ambra1;Creb5;Creb3l1;Ulk2;Gria3;Cltc"	0.371495023133825	0.868530015539172	19	19	6014.5
"W97"	"path:mmu04510"	"Braf;Rap1a;Birc3;Xiap;Cdc42;Col6a3;Col1a1;Col1a2;Diaph1;Egfr;Ptk2;Fn1;Fyn;Igf1r;Lama2;Lama4;Ppp1r12a;Pdgfrb;Pdpk1;Pik3ca;Pik3r1;Prkca;Prkcb;Pten;Flna;Rock1;Rock2;Sos2;Lamc1;Akt3;Mapk1;Ppp1r12b;Dock1;Gsk3b;Vav3;Parva;Actn4;Pdgfd;Tnxb"	0.372227149516788	0.868530015539172	39	39	10076.5
"W221"	"path:mmu05208"	"Braf;Abl1;Abl2;Arnt;Egfr;Ptk2;Nfkb1;Pdpk1;Pik3ca;Pik3r1;Prkd1;Pld1;Pten;Ptprj;Sos2;Akt3;Mapk1;Mapk14;Nox4;Foxo3"	0.377549639957609	0.872867057516673	20	20	6306
"W77"	"path:mmu04152"	"Acacb;Acaca;Prkag2;Igf1r;Insr;Irs1;Pdpk1;Pik3ca;Pik3r1;Rab10;Creb5;Ppp2r3a;Akt3;Creb3l1;Ppp2r5c;Ppp2r5e;Foxo1;Foxo3;Rab2a;Rptor"	0.39004535399171	0.893558447326464	20	20	5011
"W43"	"path:mmu03060"	"Sec63;Immp2l"	0.395519986748115	0.897937267211937	2	2	762
"W14"	"path:mmu00520"	"Cmah;Gfpt1;Gmds"	0.404156798530467	0.901305426811308	3	3	1084.5
"W32"	"path:mmu01250"	"Cmah;Gfpt1;Gmds"	0.404156798530467	0.901305426811308	3	3	1084.5
"W107"	"path:mmu04621"	"Pkn2;Birc3;Xiap;Hsp90ab1;Jak1;Nfkb1;Plcb1;Plcb4;Mcu;Traf3;Ywhae;Mapk1;Mapk14;Trpm7;Erbin;Nek7;Antxr1;Antxr2"	0.410909501006579	0.908326265382963	18	18	5664
"W247"	"path:mmu05414"	"Adcy9;Cacna1c;Cacna2d1;Dag1;Dmd;Gnas;Lama2;Slc8a1;Adcy2;Tgfb2;Ttn;Sgcd"	0.428461327705074	0.918917058465496	12	12	3843
"W146"	"path:mmu04917"	"Esr1;Nfkb1;Pik3ca;Pik3r1;Sos2;Stat3;Stat5b;Akt3;Mapk1;Mapk14;Foxo3;Gsk3b"	0.433581357057279	0.918917058465496	12	12	2942
"W50"	"path:mmu04015"	"Braf;Rap1a;Adcy9;Ctnnd1;Cdc42;Efna5;Egfr;Fgfr1;Fgfr2;Gnaq;Gnas;Lpar1;Magi1;Igf1r;Insr;Afdn;Pdgfrb;Pik3ca;Pik3r1;Prkca;Prkcb;Prkd1;Plcb1;Plcb4;Rapgef6;Adcy2;Akt3;Dock4;Mapk1;Mapk14;Magi2;Apbb1ip;Vav3;Pdgfd;Plce1;Rapgef2;Pard3;Magi3"	0.435586671305827	0.918917058465496	38	38	11546
"W34"	"path:mmu01522"	"Braf;Adcy9;Egfr;Esr1;Ptk2;Gnas;Igf1r;Ncoa3;Pik3ca;Pik3r1;Ncor1;Sos2;Adcy2;Akt3;Mapk1;Mapk14"	0.443411489248001	0.918917058465496	16	16	4012
"W46"	"path:mmu03440"	"Babam2;Rad51b;Uimc1"	0.447167402811241	0.918917058465496	3	3	1063.5
"W205"	"path:mmu05162"	"Apaf1;Eif2ak3;Jak1;Nfkb1;Pik3ca;Pik3r1;Stat3;Stat5b;Cblb;Traf3;Akt3;Gsk3b"	0.448104204381493	0.918917058465496	12	12	2956
"W237"	"path:mmu05225"	"Braf;Apc;Egfr;Gab1;Igf1r;Lrp6;Smad3;Pik3ca;Pik3r1;Prkca;Prkcb;Pten;Sos2;Tcf7l1;Tcf7l2;Tgfb2;Tgfbr1;Tgfbr2;Akt3;Arid1b;Mapk1;Gsk3b;Pbrm1;Smarca2;Arid2;Csnk1a1;Arid1a"	0.450266626730607	0.918917058465496	27	27	6971.5
"W137"	"path:mmu04750"	"Camk2d;Adcy9;Camk2a;Gnaq;Gnas;Il1r1;Il1rap;Pik3ca;Pik3r1;Prkca;Prkcb;Prkce;Plcb1;Plcb4;Adcy2;Mapk14"	0.450631141316504	0.918917058465496	16	16	5020
"W142"	"path:mmu04913"	"Adcy9;Gnas;Igf1r;Insr;Adcy2"	0.450758345545046	0.918917058465496	5	5	1135.5
"W215"	"path:mmu05200"	"Camk2d;Braf;Abl1;Adcy9;Apaf1;Apc;Birc3;Xiap;Ar;Arnt;Camk2a;Ctnna1;Runx1t1;Cdc42;Crebbp;Egfr;Esr1;Ptk2;Fgfr1;Fgfr2;Fn1;Gli3;Gnaq;Gnas;Gnb1;Gng12;Lpar1;Hsp90ab1;Igf1r;Il6st;Jak1;Lama2;Lama4;Lrp6;Smad3;Mitf;Ncoa1;Ncoa3;Nfkb1;Pdgfrb;Pik3ca;Pik3r1;Prkca;Prkcb;Plcb1;Plcb4;Pld1;Pten;Rock1;Rock2;Sos2;Stat3;Stat5b;Adcy2;Arhgef11;Tcf7l1;Tcf7l2;Ctnna3;Tgfb2;Tgfbr1;Tgfbr2;Traf3;Lamc1;Zbtb16;Akt3;Mapk1;Cul1;Foxo1;Gsk3b;Arhgef12;Dapk1"	0.458199263010579	0.918917058465496	71	71	18974.5
"W115"	"path:mmu04659"	"Hsp90ab1;Il1r1;Il1rap;Il6st;Jak1;Smad3;Nfkb1;Ppp3ca;Ppp3cb;Rora;Stat3;Stat5b;Tgfbr1;Tgfbr2;Mapk1;Mapk14"	0.4680418711739	0.918917058465496	16	16	4039
"W40"	"path:mmu03018"	"Cnot1;Xrn1;Zcchc7;Cnot4;Cnot2;Pan3"	0.468356418735228	0.918917058465496	6	6	1403
"W140"	"path:mmu04911"	"Camk2d;Adcy9;Cacna1c;Camk2a;Gnaq;Gnas;Prkca;Prkcb;Plcb1;Plcb4;Adcy2;Creb5;Creb3l1;Atp1a2"	0.469226453694826	0.918917058465496	14	14	4403
"W222"	"path:mmu05210"	"Braf;Apc;Egfr;Smad3;Pik3ca;Pik3r1;Sos2;Tcf7l1;Tcf7l2;Tgfb2;Tgfbr1;Tgfbr2;Akt3;Mapk1;Gsk3b"	0.469327728839604	0.918917058465496	15	15	3773.5
"W171"	"path:mmu04971"	"Camk2d;Adcy9;Camk2a;Gnaq;Gnas;Prkca;Prkcb;Plcb1;Plcb4;Slc9a1;Adcy2;Atp1a2"	0.470398018024004	0.918917058465496	12	12	3803
"W130"	"path:mmu04725"	"Camk2d;Adcy9;Cacna1c;Camk2a;Fyn;Gnaq;Gnb1;Gng12;Pik3ca;Pik3r1;Prkca;Prkcb;Plcb1;Plcb4;Adcy2;Creb5;Akt3;Mapk1;Creb3l1"	0.476954808174973	0.921808300194005	19	19	5882.5
"W173"	"path:mmu04973"	"Pik3ca;Pik3r1;Prkcb;Plcb1;Plcb4;Akt3;Atp1a2"	0.482059778101266	0.921808300194005	7	7	2283.5
"W101"	"path:mmu04530"	"Prkag2;Rap1a;Cdc42;Dlg1;Magi1;Afdn;Mpdz;Nedd4;Prkce;Rapgef6;Rock1;Rock2;Actn4;Actr3;Amotl1;Rapgef2;Nedd4l;Pard3"	0.486562003616926	0.921808300194005	18	18	5575
"W55"	"path:mmu04062"	"Braf;Rap1a;Adcy9;Cdc42;Elmo1;Ptk2;Gnaq;Gnb1;Gng12;Nfkb1;Pik3ca;Pik3r1;Prkcb;Plcb1;Plcb4;Rock1;Rock2;Sos2;Stat3;Stat5b;Adcy2;Akt3;Mapk1;Foxo3;Gsk3b;Vav3;Pard3"	0.489173189299024	0.921808300194005	27	27	8228.5
"W10"	"path:mmu00512"	"St3gal1;Galnt17"	0.493128964070479	0.921808300194005	2	2	724
